year,race_recoded,count,percentage
2017,ASIAN / PACIFIC ISLANDER,8,1.64
2017,BLACK,235,48.25
2017,HISPANIC,156,32.03
2017,OTHER,1,0.21
2017,UNKNOWN,14,2.87
2017,WHITE,40,8.21
2017,NA,33,6.78
2018,ASIAN / PACIFIC ISLANDER,6,2.31
2018,BLACK,135,51.92
2018,HISPANIC,79,30.38
2018,UNKNOWN,7,2.69
2018,WHITE,33,12.69
2019,ASIAN / PACIFIC ISLANDER,4,1.05
2019,BLACK,202,53.02
2019,HISPANIC,142,37.27
2019,OTHER,2,0.52
2019,UNKNOWN,2,0.52
2019,WHITE,29,7.61
2020,ASIAN / PACIFIC ISLANDER,4,3.42
2020,BLACK,68,58.12
2020,HISPANIC,34,29.06
2020,OTHER,1,0.85
2020,UNKNOWN,2,1.71
2020,WHITE,8,6.84
2021,ASIAN / PACIFIC ISLANDER,2,5
2021,BLACK,16,40
2021,HISPANIC,12,30
2021,UNKNOWN,1,2.5
2021,WHITE,9,22.5
2022,ASIAN / PACIFIC ISLANDER,3,2
2022,BLACK,101,67.33
2022,HISPANIC,35,23.33
2022,WHITE,11,7.33
2023,ASIAN / PACIFIC ISLANDER,10,2.31
2023,BLACK,255,58.89
2023,HISPANIC,142,32.79
2023,UNKNOWN,3,0.69
2023,WHITE,23,5.31
2024,ASIAN / PACIFIC ISLANDER,9,1.04
2024,BLACK,537,61.94
2024,HISPANIC,272,31.37
2024,UNKNOWN,6,0.69
2024,WHITE,43,4.96
